Film Name,Rating,Genre
The Wolf of Wall Street,8.2,"
Biography, Crime, Drama            "
The Wolf of Wall Street,6.5,"
Drama            "
Star Wars: Episode IX - The Rise of Skywalker,6.6,"
Action, Adventure, Fantasy            "
Solo: A Star Wars Story,6.9,"
Action, Adventure, Sci-Fi            "
Star Wars: The Clone Wars,8.2,"
Animation, Action, Adventure            "
Star Wars,8.6,"
Action, Adventure, Fantasy            "
Star Wars: Episode I - The Phantom Menace,6.5,"
Action, Adventure, Fantasy            "
Star Wars: The Last Jedi,7,"
Action, Adventure, Fantasy            "
Star Wars: Episode V - The Empire Strikes Back,8.7,"
Action, Adventure, Fantasy            "
Star Wars: The Force Awakens,7.9,"
Action, Adventure, Sci-Fi            "
Star Wars: Episode VI - Return of the Jedi,8.3,"
Action, Adventure, Fantasy            "
Star Wars: Rebels,8,"
Animation, Action, Adventure            "
Star Wars: Episode III - Revenge of the Sith,7.5,"
Action, Adventure, Fantasy            "
Star Wars: Episode II - Attack of the Clones,6.5,"
Action, Adventure, Fantasy            "
Star Wars Jedi: Fallen Order,8.7,"
Action, Adventure, Drama            "
Star Wars: Resistance,4.9,"
Animation, Action, Adventure            "
